Zeit;Kanal A
(ms);(mV)

-20,69199916;-2,04724400
-20,68699916;-2,60580700
-20,68199916;-2,23363700
-20,67699916;-2,04724400
-20,67199916;-2,23363700
-20,66699916;-1,67507400
-20,66199916;-1,67507400
-20,65699916;-1,30290300
-20,65199916;-0,74434050
-20,64699916;-0,93073320
-20,64199916;-0,74434050
-20,63699916;-0,74434050
-20,63199916;0,00000000
-20,62699916;-0,74434050
-20,62199916;-0,37217020
-20,61699916;-1,11651100
-20,61199916;-0,74434050
-20,60699916;-1,11651100
-20,60199916;-2,04724400
-20,59699916;-2,79220000
-20,59199916;-2,97797700
-20,58699916;-3,16437000
-20,58199916;-4,09510300
-20,57699916;-3,90871000
-20,57199916;-3,90871000
-20,56699916;-3,35014700
-20,56199916;-4,09510300
-20,55699916;-3,53654000
-20,55199916;-3,90871000
-20,54699916;-3,35014700
-20,54199916;-3,16437000
-20,53699916;-2,79220000
-20,53199916;-2,04724400
-20,52699916;-2,23363700
-20,52199916;-2,23363700
-20,51699917;-1,11651100
-20,51199917;-1,30290300
-20,50699917;-1,30290300
-20,50199917;-0,55794780
-20,49699917;-0,55794780
-20,49199917;-0,37217020
-20,48699917;0,00000000
-20,48199917;-0,37217020
-20,47699917;0,18577760
-20,47199917;0,00000000
-20,46699917;0,18577760
-20,46199917;0,00000000
-20,45699917;-0,18577760
-20,45199917;0,37217020
-20,44699917;1,30290300
-20,44199917;0,37217020
-20,43699917;0,18577760
-20,43199917;0,55794780
-20,42699917;0,74434050
-20,42199917;0,93073320
-20,41699917;1,11651100
-20,41199917;1,86146600
-20,40699917;1,67507400
-20,40199917;2,60580700
-20,39699917;2,04724400
-20,39199917;2,60580700
-20,38699917;3,35014700
-20,38199917;4,09510300
-20,37699917;3,35014700
-20,37199917;3,72293300
-20,36699917;2,60580700
-20,36199917;3,72293300
-20,35699917;2,79220000
-20,35199917;2,79220000
-20,34699917;2,79220000
-20,34199917;3,35014700
-20,33699917;2,97797700
-20,33199917;2,41941400
-20,32699917;2,41941400
-20,32199917;2,04724400
-20,31699917;2,41941400
-20,31199917;1,86146600
-20,30699917;1,86146600
-20,30199917;2,23363700
-20,29699917;1,86146600
-20,29199917;1,30290300
-20,28699917;1,48868100
-20,28199917;2,41941400
-20,27699917;2,41941400
-20,27199917;2,04724400
-20,26699917;2,04724400
-20,26199917;2,04724400
-20,25699917;2,23363700
-20,25199917;2,04724400
-20,24699917;2,97797700
-20,24199917;2,79220000
-20,23699917;3,35014700
-20,23199917;2,97797700
-20,22699917;2,97797700
-20,22199917;3,53654000
-20,21699917;3,53654000
-20,21199917;3,72293300
-20,20699917;3,72293300
-20,20199917;3,72293300
-20,19699917;4,28149600
-20,19199917;3,53654000
-20,18699917;3,53654000
-20,18199917;2,41941400
-20,17699917;2,79220000
-20,17199917;3,35014700
-20,16699917;2,79220000
-20,16199917;3,53654000
-20,15699917;2,97797700
-20,15199917;3,16437000
-20,14699917;2,97797700
-20,14199917;2,79220000
-20,13699917;2,97797700
-20,13199917;2,79220000
-20,12699917;2,79220000
-20,12199918;2,41941400
-20,11699918;3,16437000
-20,11199918;2,97797700
-20,10699918;2,97797700
-20,10199918;2,79220000
-20,09699918;3,16437000
-20,09199918;3,53654000
-20,08699918;2,97797700
-20,08199918;3,16437000
-20,07699918;2,79220000
-20,07199918;2,41941400
-20,06699918;2,41941400
-20,06199918;2,79220000
-20,05699918;2,41941400
-20,05199918;2,41941400
-20,04699918;1,67507400
-20,04199918;2,04724400
-20,03699918;2,04724400
-20,03199918;1,48868100
-20,02699918;2,04724400
-20,02199918;1,86146600
-20,01699918;2,60580700
-20,01199918;2,04724400
-20,00699918;2,41941400
-20,00199918;2,23363700
-19,99699918;2,04724400
-19,99199918;2,04724400
-19,98699918;1,30290300
-19,98199918;1,48868100
-19,97699918;1,67507400
-19,97199918;1,11651100
-19,96699918;1,11651100
-19,96199918;1,86146600
-19,95699918;0,00000000
-19,95199918;0,00000000
-19,94699918;0,18577760
-19,94199918;-2,04724400
-19,93699918;0,37217020
-19,93199918;0,18577760
-19,92699918;0,55794780
-19,92199918;0,74434050
-19,91699918;1,67507400
-19,91199918;2,04724400
-19,90699918;2,60580700
-19,90199918;3,16437000
-19,89699918;2,97797700
-19,89199918;3,72293300
-19,88699918;3,90871000
-19,88199918;4,09510300
-19,87699918;4,28149600
-19,87199918;3,53654000
-19,86699918;2,97797700
